userID,movieID,rating,pred
4356,1125,4,4.113981246948242
3241,2303,4,4.200357913970947
1525,1649,4,3.8126001358032227
420,1269,5,5.104689598083496
2378,65,2,3.3782296180725098
4042,3879,2,2.545106887817383
411,1911,2,2.0830023288726807
4337,2377,5,4.103250503540039
1015,290,3,3.705498695373535
3825,2252,3,2.7056844234466553
2105,1036,4,4.129881858825684
2002,1230,5,4.2156171798706055
3658,316,4,3.4440243244171143
2476,1300,4,3.5076904296875
692,923,5,4.766889572143555
3031,2126,2,1.9238237142562866
1451,163,4,3.6719818115234375
2830,3176,4,3.4274370670318604
3083,2355,3,3.768789291381836
3624,9,1,3.0903971195220947
1930,1297,4,3.5825412273406982
4771,1673,4,3.6699159145355225
4237,589,5,5.008641719818115
4118,32,4,3.6694090366363525
2734,2724,3,3.6793298721313477
927,2671,5,3.5811054706573486
1228,150,4,3.840579032897949
4085,2000,5,4.328763008117676
3760,2949,4,4.125588417053223
1448,3766,1,3.194631576538086
3439,2141,4,3.382892608642578
4890,906,4,3.320115566253662
3135,1093,4,4.158493995666504
5282,2396,3,4.395388603210449
1451,2370,3,3.7450222969055176
5956,2028,3,4.341777801513672
5605,64,2,1.8738529682159424
5718,1179,5,4.008688449859619
1757,1307,5,5.418633460998535
3320,3412,4,3.0707712173461914
2038,3769,4,3.2146053314208984
5786,144,5,3.785672664642334
1505,1265,5,4.469900608062744
4060,2968,4,3.877389907836914
2231,3096,5,3.979989528656006
1845,21,3,2.816908359527588
878,671,5,4.302418231964111
2303,2997,4,4.452528476715088
1733,161,3,3.247976303100586
3337,2541,3,3.4760186672210693
3151,277,3,4.709692478179932
5329,3112,4,3.480323314666748
195,1517,2,3.946690320968628
1329,1641,4,3.251067638397217
166,1073,5,3.968238353729248
2928,223,3,3.6716740131378174
1606,1552,5,3.4265761375427246
757,592,4,4.006346702575684
3536,50,4,5.082941055297852
660,2334,3,2.50766921043396
3032,2090,5,5.1030802726745605
5453,1214,5,4.762897491455078
2353,1960,4,3.9229469299316406
1628,2710,4,4.109638214111328
3519,3439,1,2.0808541774749756
3922,65,2,1.9060394763946533
3044,724,4,3.8290534019470215
4491,3439,3,4.295022010803223
4663,2291,4,3.5078954696655273
5512,3591,5,4.230127811431885
3319,3215,3,2.0095057487487793
4796,2571,3,3.4844412803649902
5159,1644,2,2.5742852687835693
6040,508,4,3.015303134918213
2064,3529,3,3.409656524658203
1941,1347,1,2.498849868774414
5896,1854,3,1.9276152849197388
1599,1584,3,3.102259874343872
294,759,5,3.8594212532043457
1797,3936,3,4.304352760314941
5667,922,5,5.488058090209961
3562,3742,1,2.083695888519287
5561,1268,3,2.982969284057617
774,2763,3,3.204193353652954
2559,858,5,4.441472053527832
5699,2346,1,2.750431537628174
1447,272,3,4.342864990234375
652,454,4,3.0918726921081543
889,908,5,4.263222694396973
91,1394,5,3.959245443344116
2298,2901,3,2.2020630836486816
4701,1527,5,5.121030807495117
3299,253,3,3.3334131240844727
5128,3418,4,3.3732848167419434
