userID,movieID,rating
1778,1290,3
3930,352,3
1979,2143,3
3965,526,5
1129,2107,4
2719,1979,1
2455,3423,4
2152,3062,2
4737,923,5
4167,264,5
3254,3258,3
1356,1689,1
2011,332,2
273,2711,4
1180,3929,3
3440,586,3
5588,1908,4
1736,3801,3
3508,588,5
1865,3534,5
5522,2716,3
3823,1376,2
203,352,3
3760,2570,5
1888,2988,4
4218,540,4
836,941,3
4000,3722,4
3748,1710,2
1619,857,4
3271,1565,4
1322,104,3
3966,1499,4
3967,1784,4
2257,2095,4
5324,2351,5
2663,46,4
786,2354,4
1741,1993,4
2013,1247,5
5344,3449,4
136,49,4
3852,586,4
672,1506,3
1646,589,4
3181,1634,3
2115,918,5
3225,1234,5
1917,1703,3
5977,3671,2
5245,24,4
2250,3917,2
5836,1908,4
1339,747,1
3370,2730,5
3589,3711,4
5565,1203,5
260,1277,4
4343,2401,3
1068,1732,2
3715,2656,3
3434,1182,5
3751,3698,2
3666,2005,1
3604,2501,5
397,923,5
5657,2615,1
1747,3365,4
5025,3005,3
2897,3908,2
1243,1677,4
512,2011,3
3984,1269,4
2303,2057,4
234,3850,5
3124,1671,4
5088,1222,5
1190,1187,4
2690,1366,3
1838,1832,2
3162,1974,3
2546,3423,4
2186,3449,3
4138,799,4
2755,1590,3
3750,857,5
2265,15,1
3179,1784,3
4674,1783,3
1337,3947,4
3242,1264,4
3370,1246,5
1495,169,1
4290,779,5
3881,2942,3
1958,1212,5
4610,1675,4
923,1094,3
72,1371,5
4591,3323,1
646,2320,4
3557,295,5
883,1718,5
5492,81,2
8,1232,3
4304,3916,4
1316,3395,4
3202,3112,2
5389,2021,4
3653,1881,2
5076,3812,3
2846,647,4
910,1035,5
5076,2559,2
5537,1123,3
1915,3018,4
3846,1035,4
1241,1568,4
2155,1012,2
1919,1931,3
1324,3896,3
2401,1911,4
1447,2015,3
106,2395,2
3364,1195,5
5716,2845,3
638,735,4
1206,434,2
5520,2083,5
3704,2395,5
627,1264,4
3109,3741,4
5295,1710,2
1997,3623,4
3498,1602,3
3490,3262,3
116,2042,4
4764,925,5
1064,2170,5
3711,2192,4
3172,1996,3
5573,609,4
677,2836,4
4232,2247,3
1296,3104,3
2702,3306,5
515,2525,2
5525,2984,4
1940,2365,5
5494,2027,4
663,1393,5
1740,533,5
5326,2370,5
3327,1305,4
3000,1301,5
4471,1543,4
3242,3353,1
3884,2144,3
1404,909,4
316,3551,2
7,15,4
4448,1135,5
4758,2735,5
1254,2857,5
1084,224,4
5459,526,5
4219,1078,3
2933,2875,3
1606,2012,4
5999,3614,3
72,3443,5
1172,2573,3
2456,376,4
2078,1602,3
5025,2745,2
1339,111,2
2536,4,2
4731,1275,5
5727,848,5
3789,1255,3
2932,3259,3
3443,1579,2
5645,1221,3
5090,2715,5
4604,1093,3
2214,5,4
2211,3743,4
3366,3167,4
1698,1297,2
3504,222,5
3223,2691,4
1009,1227,4
4063,3134,5
1798,295,5
4807,23,3
2497,907,3
239,749,3
6010,1652,3
2784,2733,3
5110,3210,5
326,2824,1
4930,925,5
4542,2391,1
3064,1093,2
2664,2015,1
3664,2643,4
6032,2698,4
4815,1913,5
646,2324,4
4657,3724,1
5839,3,3
4050,1224,3
244,171,3
2647,2453,4
215,967,3
4963,430,4
5595,2691,4
4115,1437,3
5365,528,3
2089,687,3
4749,1565,4
4731,167,1
1751,1590,4
1014,1682,4
3978,1032,5
4511,646,4
2506,1277,5
474,3523,3
5644,2761,5
4078,3197,5
5316,1386,4
745,2277,3
3264,1920,2
5417,2794,4
508,591,4
3680,1195,5
5892,1967,2
565,3365,3
3460,109,5
5566,942,4
3604,3622,4
3841,3250,5
3671,1034,4
1585,2365,4
4040,2404,5
307,1021,3
4785,2390,4
3150,2423,5
2023,539,2
4021,3218,4
4040,88,3
1811,2247,4
3177,3626,4
1878,1230,4
5346,2187,2
5311,1943,4
4836,0,4
4040,1048,5
4087,719,4
1925,2965,5
2166,3658,2
3409,1908,3
4696,1027,3
2977,1268,4
2224,2382,1
4343,3257,2
3389,3667,5
2848,2079,4
2480,2032,2
4980,2804,3
2072,2986,3
5304,1579,3
4027,1404,5
1711,2946,4
2337,3734,4
150,3580,4
89,355,4
1802,1917,3
548,464,4
3260,2142,4
3609,1046,4
3390,3041,1
3877,2247,3
776,3396,2
3503,2412,4
3364,2662,3
5092,1623,3
5953,760,3
5,596,5
1563,473,4
1634,1099,2
1474,338,1
808,1195,5
4284,2456,4
224,3342,1
655,2397,5
1555,2182,5
2019,3948,4
3028,3188,3
4931,1078,5
5574,2081,3
1942,370,4
727,1224,4
4634,379,4
1242,3509,3
2906,3498,3
2165,2295,4
354,2693,3
4807,3666,2
2029,1372,2
557,1568,4
1395,1376,1
4436,499,3
5837,950,5
1052,1953,4
1819,3357,3
2396,3628,5
3392,672,3
928,1406,5
4590,2365,2
4718,1916,5
4113,1239,5
523,354,1
3068,2762,2
4881,1955,4
2046,3159,5
52,1050,2
5241,3299,2
4025,831,3
5496,1048,4
3692,3066,3
2015,2293,4
3899,3188,4
5524,2500,5
676,1906,1
659,433,2
1376,2949,3
3899,1609,3
1959,1041,5
1206,1089,5
3390,518,2
2058,2727,4
2547,3218,5
4830,1212,4
1278,106,2
2162,1731,5
1836,43,2
4344,2013,3
5010,2404,4
998,2889,4
3716,131,3
2994,434,3
174,1119,4
1050,3867,5
4089,3359,4
5219,1391,5
2014,2321,4
3335,2996,5
1328,2108,4
2026,1212,4
5039,2512,4
645,2526,3
2410,1999,4
4405,2033,3
2119,2889,5
3992,3808,4
3050,3174,3
2747,1370,1
5319,1063,1
5676,1224,4
497,2972,3
523,2104,4
4731,1721,4
5322,2769,2
2503,1297,4
1099,3048,1
2660,499,4
5598,3273,4
5293,749,5
689,2136,4
3265,1126,3
1098,315,3
3824,1478,3
2230,2851,5
1273,1248,4
776,499,3
3832,2086,3
3779,271,4
5515,2277,2
6009,3036,5
2875,3622,1
5885,1305,4
2855,1609,4
4447,49,5
5853,2761,5
3179,144,2
2846,2267,2
2055,1406,3
1494,3353,1
2839,901,3
3593,3051,5
3668,5,5
1529,1250,3
1940,1406,5
3365,1221,4
2777,355,5
3326,326,3
5095,2000,3
4807,1233,3
4031,2988,5
1495,1969,2
4343,3702,4
1321,540,5
1638,2057,5
21,2501,3
1354,1182,3
1541,2711,3
2034,1922,4
2301,1306,3
562,337,3
130,3358,4
1129,1911,4
958,3256,4
148,3895,5
1112,3508,2
954,3684,4
3776,3177,2
2499,1579,3
659,3023,1
1323,3618,4
910,2948,3
4451,2792,2
910,1993,4
711,2906,2
3385,1679,4
1033,2682,4
3463,264,4
1975,1614,3
3390,117,2
4634,1681,4
1453,2889,5
260,1768,3
3619,1516,2
2040,3545,4
3336,3592,2
5106,10,3
542,1891,4
1313,538,4
354,801,3
3481,646,4
4206,3361,5
3917,2733,4
1040,3018,5
5427,2313,3
2495,3653,3
3795,1230,5
2591,2145,4
2180,2713,2
5871,732,3
4590,3862,2
1834,3498,5
4446,3085,4
2920,2310,4
4604,2288,4
3988,3835,3
3637,2004,3
1651,143,5
1615,1125,1
3228,3407,5
3891,1387,2
4498,80,4
2792,1400,3
543,1031,4
3933,1854,2
3162,542,5
4244,749,5
1948,2761,5
862,5,4
1616,2290,2
5498,1616,5
2715,1091,3
2756,1951,5
3557,596,5
1180,1372,3
5879,3461,4
4383,1369,4
3498,1857,4
4432,1096,3
880,1333,2
5025,1951,3
1132,3917,4
3651,2692,5
3166,3592,1
4999,3488,4
5970,1645,3
4025,1092,3
1009,1836,1
4279,3751,3
2302,1619,4
3162,3411,4
3475,2528,5
1697,2072,4
4286,2943,4
4636,1568,5
638,1607,4
3493,2840,4
2167,1672,3
3270,3607,3
135,1747,1
1380,3326,1
1068,1092,2
3575,1232,4
3703,907,5
2792,1804,5
4725,550,3
2877,417,4
1009,1221,5
562,609,1
1150,540,4
4762,1911,4
3761,923,4
1697,328,3
72,2354,3
219,2685,4
1666,3634,3
3647,563,3
2528,169,3
4570,589,3
1490,287,1
3899,2406,3
5751,915,3
5579,646,3
4801,2564,5
3016,230,2
4118,3813,4
3623,670,3
5768,3087,4
5685,1782,2
1579,897,4
2937,1034,2
2083,592,5
1001,2889,4
5500,343,4
5519,2689,4
3584,1657,3
4879,3157,4
5594,2321,2
2251,2071,3
4151,1146,5
5252,1343,3
1521,2020,3
3549,2108,4
3092,3145,3
1610,3918,3
3840,1012,3
3984,333,4
2194,2469,5
3190,1673,4
3640,1342,5
5613,2010,4
4444,3839,4
2009,3895,5
3950,1021,3
3761,2648,5
4139,1241,5
2101,1264,5
3767,3447,4
4466,121,4
3820,1235,3
527,2505,4
1001,291,3
1726,1046,3
5962,1572,3
4149,1551,3
2488,1746,3
5393,1365,3
672,3563,1
4605,2907,5
888,896,2
4712,1978,1
5915,952,5
1223,3423,4
628,2077,4
4808,24,4
4251,2106,3
1888,3705,3
2898,425,4
145,1292,4
3345,2528,5
705,1542,3
5546,2996,4
3192,2335,3
2665,1277,5
3768,1199,4
888,2939,3
653,287,4
4952,553,4
5136,3790,5
1028,245,5
3817,2597,2
5885,295,4
5366,1972,1
2588,2323,5
650,1277,5
4040,23,2
397,3951,3
3588,2615,2
2539,1609,4
1997,1291,5
4032,2700,4
4333,3700,4
776,332,3
3807,446,1
4124,2825,1
1237,3542,4
1529,2009,3
4932,460,3
5238,548,5
4033,1096,4
5626,3261,1
3390,999,3
1141,1400,4
2247,2761,5
215,193,3
790,3628,4
3602,2671,2
1033,2065,4
5130,2454,2
3215,1952,3
2506,1088,5
1302,2925,3
2464,907,4
2966,3743,1
4971,2667,3
1740,3825,2
1362,2920,2
799,223,4
1049,2268,2
4045,3759,3
3393,2746,2
2070,1027,4
4226,2731,2
3807,2526,4
4475,848,1
3997,3779,2
3949,3175,3
1924,2075,4
5086,857,4
6024,176,3
5249,3896,5
5569,106,4
3473,2628,4
549,1800,3
1180,1409,2
3840,1274,3
5947,1947,5
397,1579,3
3852,17,5
1783,1583,4
129,3702,5
4932,3732,4
3883,540,3
5028,20,5
4974,588,4
3400,1375,5
4378,2339,2
3100,2093,3
2879,3261,2
1171,589,5
305,3510,3
3050,2484,2
3900,3179,4
3415,1803,3
1149,935,3
5713,3689,1
2580,245,5
3370,1720,1
1495,157,3
1630,1512,3
5055,2945,5
3577,1440,3
5855,1999,5
5649,1030,4
784,1916,2
5334,109,4
3202,3567,5
1738,2869,5
5272,1356,4
925,2715,4
1921,3255,3
1792,1209,5
3668,2108,5
923,2358,3
1612,3411,3
3496,3407,5
3390,1212,5
187,203,2
1115,1293,3
2014,35,4
4276,1407,5
2846,1199,1
3939,154,2
5004,3147,4
1389,1213,5
4326,3255,5
569,3435,2
620,1978,1
3205,2580,2
47,2615,3
1376,195,3
1389,732,4
5404,3184,4
519,222,3
2540,3925,2
5106,2528,2
3364,3762,5
5375,3112,2
4853,1950,4
1686,439,5
4055,2093,4
5954,499,3
4138,46,5
174,1190,3
566,207,4
2452,15,4
4592,2857,5
